ISBN, Book Title
542028049, Blood Meridian by Cormac McCarthy 
472088557, Lord Jim by Joseph Conrad 
300754528, Gone With the Wind  by Margaret Mitchell 
565250048, Charlotte's Web by E. B. White 
745534467, Native Son  by Richard Wright 
309798465, Buddenbrooks by Thomas Mann 
734697213, Sons and Lovers by D. H. Lawrence 
541458700, Rabbit Run  by John Updike 
882004650, The Little Prince by Antoine de Saint-ExupÃ©ry 
581402877, Slaughterhouse-Five  by Kurt Vonnegut 
826524845, Their Eyes Were Watching God  by Zora Neale Hurston 
061482116, A Season in Hell by Arthur Rimbaud 
506990689, Household Tales by Brothers Grimm 
255477254, The Count of Monte Cristo by Alexandre Dumas 
214631068, My Antonia by Willa Cather 
033241383, A Doll's House by Henrik Ibsen 
497524684, The Ambassadors by Henry James 
202607106, The Moviegoer by Walker Percy 
682204889, The Tempest by William Shakespeare 
639220326, Nostromo by Joseph Conrad 
339644437, The Complete Sherlock Holmes by Arthur Conan Doyle 
045523942, Electra by Sophocles 
667890032, Medea by Euripides 
930122831, Doctor Faustus by Thomas Mann 
817593217, Collected Poems by Wallace Stevens 
821082051, The Big Sleep by Raymond Chandler 
340447467, One Flew Over the Cuckoo's Nest  by Ken Kesey 
329373788, Lost Illusions by HonorÃ© de Balzac 
187734307, Bleak House by Charles Dickens 
351083536, The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson 
059725023, Doctor Zhivago by Boris Pasternak 
528803995, Dubliners by James Joyce 
631427433, The Wind in the Willows by Kenneth Grahame 
009475572, Light in August  by William Faulkner 
112213362, Twenty Thousand Leagues Under the Sea by Jules Verne 
446843710, The Plague by Albert Camus 
495930244, Hunger by Knut Hamsun 
684746760, If on a Winter's Night a Traveller  by Italo Calvino 
958426647, The Leopard by Giuseppe Tomasi di Lampedusa 
200368010, The Poems of Robert Frost by Robert Frost 
706100709, Epic of Gilgamesh by Unknown 
451744158, PhÃ¨dre by Jean Racine 
431875465, An American Tragedy by Theodore Dreiser 
389602779, Time The Picture of Dorian Gray by Oscar Wilde 
625356483, Women in Love by D. H. Lawrence 
749803176, Prometheus Bound by Aeschylus 
967131129, The Complete Poetry and Prose of William Blake by William Blake 
648357225, Lysistrata by Aristophanes 
168229020, A Clockwork Orange by Anthony Burgess 
631438252, Rebecca by Daphne du Maurier 
991631529, The Call of the Wild by Jack London 
536585769, Orlando: A Biography by Virginia Woolf  
235167174, Dracula by Bram Stoker 
071962897, The Color Purple by Alice Walker 
014369962, The Stories of John Cheever by John Cheever 
625617407, Little Women by Louisa May Alcott 
146956317, Steppenwolf by Hermann Hesse 
219421307, Eugenie Grandet by HonorÃ© de Balzac 
651938759, Macbeth by William Shakespeare 
682680387, Gravity's Rainbow  by Thomas Pynchon 
051692205, A Tale of Two Cities by Charles Dickens 
336026982, I Claudius  by Robert Graves 
401538044, The Unbearable Lightness of Being by Milan Kundera 
302650516, The Pickwick Papers by Charles Dickens 
774716993, Tartuffe by MoliÃ¨re 
064251147, Seven Against Thebes by  Aeschylus 
240234700, The Persians by Aeschylus 
448367864, The Suppliants by Aeschylus 
708664425, Finnegans Wake by James Joyce 
476546023, Confessions of Zeno by Italo Svevo 
008957132, De Rerum Natura by Lucretius 
642811062, Harry Potter And The Philosopher's Stone by J. K. Rowling 
595774149, Molloy by Samuel Beckett 
646764443, The Handmaid's Tale by Margaret Atwood 
983452887, Rabbit at Rest by John Updike 
653269665, The Golden Notebook by Doris Lessing 
279940966, Rabbit Is Rich by John Updike 
989568228, Through the Looking Glass by Lewis Carroll 
946304591, The Bacchae by Euripides 
228178790, Rabbit Redux by  John Updike 
142549854, The Adventures of Augie March by Saul Bellow 
116347718, Malone Dies by Samuel Beckett 
037712535, Women of Trachis by Sophocles 
868147099, Ajax by Sophocles 
639680525, Philoctetes by Sophocles 
052766300, Henderson The Rain King by Saul Bellow
614380508, The Misanthrope by MoliÃ¨re
578812600, Nineteen Nineteen by John Dos Passos
165519489, Collected Poems of Dylan Thomas by Dylan Thomas
103201942, Independent People by Halldor Laxness
636160846, Complete Poems of Giacomo Leopardi by Giacomo Leopardi
728993400, Pilgrim's Progress  by John Bunyan
569298967, The Man Without Qualities by Robert Musil
932492193, Herzog  by Saul Bellow
521210861, Nine Stories by J.D. Salinger
784205982, Jude the Obscure by Thomas Hardy
324475134, Lady Chatterley's Lover by D. H. Lawrence
156320564, Pedro Paramo by Juan Rulfo
777314210, The Maltese Falcon by Dashiell Hammett
568490563, Howards End by E. M. Forster
074230713, Stories of Guy de Maupassant by Guy de Maupassant
605862335, The Good Soldier Svejk by Jaroslav HaÅ¡ek
540300881, All Quiet on the Western Front by Erich Maria Remarque
707624147, The Three Musketeers by Alexandre Dumas
654210761, The 42nd Parallel by John Dos Passos
813621038, The Big Money by John Dos Passos
167363836, The Heart Is A Lonely Hunter by Carson McCullers
634755515, Tender Is the Night by F. Scott Fitzgerald
655505825, The Sonnets by William Shakespeare
943298433, Infinite Jest  by David Foster Wallace
011539662, The Birds by Aristophanes
894643710, Memoirs of Hadrian by Marguerite Yourcenar
010314102, Of Mice and Men by John Steinbeck
191634412, The Corrections by Jonathan Franzen
439654807, Berlin Alexanderplatz by Alfred DÃ¶blin
448545558, Austerlitz  by W. G. Sebald 
807063105, The Red Badge of Courage by Stephen Crane
778346826, The LionThe Witch and the Wardrobe  by C.S. Lewis
275504687, Clarissa by Samuel Richardson
554528623, The Poems of John Keats by John Keats
204232467, The Rime of the Ancient Mariner by Samuel Taylor Coleridge
412026469, Love in the Time of Cholera by Gabriel Garcia Marquez
015869456, The Critique of the School for Wives by MoliÃ¨re
753884775, Don Juan by MoliÃ¨re
367644412, The Would-Be Gentleman by MoliÃ¨re
679414589, The Would-Be Invalid by MoliÃ¨re
644463641, The School for Wives by MoliÃ¨re
958186039, The Miser by MoliÃ¨re
974845315, The Adventures of Oliver Twist by Charles Dickens
331248737, Song of Solomon by Toni Morrison
982033889, The Unnamable by Samuel Beckett
149776655, The Book of Disquiet by Fernando Pessoa
785204329, Winnie the Pooh by A. A. Milne
549803945, Le Morte d'Arthur by Thomas Malory
648483655, If I Forget Thee Jerusalem by William Faulkner 
912093792, 2666 by Roberto Bolano 
563916049, Poems of Federico GarcÃ­a Lorca by Federico GarcÃ­a Lorca 
101065670, A Wrinkle In Time by Madeleine L'Engle 
123159878, The House of the Spirits by Isabel Allende 
518067223, Jakob Von Gunten by Robert Walser 
