customer ID,rating (out of 5),book ID
9, 4, 989052576
3, 2, 228178790
3, 2, 633500651
0, 4, 472088557
4, 2, 495930244
5, 5, 646764443
4, 2, 764919686
6, 3, 014369962
2, 1, 200368010
4, 5, 560605967
9, 2, 707624147
5, 3, 220376799
4, 4, 008957132
3, 5, 451744158
3, 2, 332990476
4, 5, 609771344
4, 5, 064251147
0, 1, 149776655
9, 2, 539497718
7, 4, 826524845
8, 2, 982033889
9, 2, 581402877
1, 5, 745534467
0, 2, 079548236
0, 4, 709604311
2, 1, 037712535
2, 2, 372270199
5, 1, 389602779
3, 4, 372270199
9, 3, 947082776
0, 2, 367644412
5, 1, 116347718
6, 2, 367644412
9, 3, 042552863
5, 5, 521210861
4, 1, 479778819
3, 1, 887404872
8, 5, 958186039
8, 2, 130427542
3, 3, 956562451
2, 2, 026292433
0, 2, 412026469
2, 1, 868147099
3, 1, 525690898
2, 2, 729484098
5, 5, 648357225
1, 3, 456708044
9, 3, 667890032
5, 5, 636160846
3, 5, 209364664
3, 5, 644463641
2, 4, 032956032
6, 5, 185915278
7, 5, 614380508
0, 2, 634755515
9, 3, 200368010
9, 2, 123159878
9, 4, 271026936
1, 4, 438136004
6, 5, 622138642
1, 4, 539497718
2, 3, 085677750
1, 1, 042552863
4, 1, 442954882
8, 2, 824423145
0, 1, 625617407
5, 5, 071962897
9, 2, 339644437
6, 2, 554528623
9, 2, 336026982
8, 1, 581402877
0, 4, 351083536
8, 1, 812915358
7, 1, 050587710
0, 4, 168229020
2, 3, 030026060
5, 2, 009475572
7, 4, 989052576
9, 4, 372270199
6, 4, 648357225
6, 4, 729484098
9, 2, 679414589
0, 4, 675329959
4, 1, 569298967
0, 5, 209364664
3, 2, 234369910
5, 1, 785204329
3, 3, 821051431
4, 5, 821082051
2, 3, 271026936
6, 4, 138162860
1, 5, 821051431
9, 5, 367644412
0, 1, 554528623
1, 3, 646764443
9, 2, 213162630
8, 1, 595774149
4, 2, 142549854
0, 3, 324475134
5, 4, 706763825
3, 1, 489063692
1, 4, 324475134
0, 2, 713826945
7, 3, 636160846
8, 5, 219421307
3, 2, 932492193
3, 2, 431875465
3, 2, 340447467
8, 1, 138162860
2, 5, 734697213
6, 1, 912093792
7, 4, 581402877
6, 4, 255477254
4, 5, 964960134
7, 3, 532955518
5, 3, 033241383
2, 3, 008957132
0, 1, 991631529
9, 5, 061482116
5, 2, 536585769
9, 2, 532955518
5, 5, 817593217
3, 2, 539497718
3, 5, 872883601
4, 3, 439495682
0, 4, 126285408
3, 4, 826524845
1, 3, 351083536
5, 3, 061482116
1, 4, 397926236
2, 2, 367644412
6, 4, 764413204
0, 1, 746098941
2, 5, 052766300
6, 1, 472088557
0, 4, 521210861
3, 3, 146956317
7, 4, 813621038
8, 5, 035221410
9, 1, 351083536
2, 4, 656979180
8, 3, 774716993
6, 1, 214631068
6, 4, 275504687
5, 1, 644463641
0, 4, 165519489
7, 1, 032956032
8, 5, 300754528
4, 2, 193949373
3, 1, 635812330
6, 5, 351083536
0, 2, 260470520
5, 2, 235167174
9, 1, 993738163
9, 1, 026292433
0, 5, 825732516
5, 3, 144418159
2, 5, 300754528
7, 1, 625617407
2, 4, 627482778
5, 3, 372270199
1, 2, 234369910
8, 2, 565250048
0, 3, 846832985
1, 2, 583012628
3, 2, 050587710
3, 4, 185064942
0, 2, 930122831
2, 4, 655505825
5, 1, 030026060
8, 3, 752662263
6, 4, 194778749
3, 5, 042552863
9, 2, 144418159
1, 4, 331248737
3, 5, 054133566
6, 3, 625617407
3, 4, 983452887
7, 1, 439654807
9, 5, 167363836
5, 2, 728993400
3, 3, 625617407
0, 2, 324806007
2, 3, 202607106
1, 3, 887404872
5, 3, 639220326
7, 2, 220376799
2, 4, 406071858
1, 4, 525690898
5, 4, 124825481
4, 1, 015869456
1, 3, 144418159
6, 2, 037712535
4, 1, 332990476
3, 4, 930122831
1, 1, 581402877
2, 3, 126285408
2, 2, 518067223
5, 4, 529408420
1, 4, 106152959
2, 3, 563916049
8, 1, 648483655
8, 4, 684746760
5, 4, 472088557
2, 3, 699480416
7, 3, 631438252
8, 4, 255477254
8, 4, 296538368
7, 3, 200368010
2, 5, 633500651
7, 1, 660595925
3, 4, 472088557
9, 1, 752662263
0, 5, 956619393
5, 2, 126285408
5, 2, 707624147
4, 4, 235167174
8, 2, 642811062
4, 1, 667890032
1, 3, 708664425
1, 5, 528803995
7, 2, 635812330
2, 5, 220376799
9, 3, 071962897
9, 5, 168229020
5, 4, 012563374
7, 2, 112213362
7, 2, 071962897
7, 4, 578812600
3, 3, 130427542
6, 1, 982033889
0, 5, 824423145
9, 1, 749803176
0, 4, 887404872
5, 2, 958426647
9, 2, 549803945
2, 4, 753884775
7, 2, 193949373
2, 4, 235167174
4, 5, 156320564
8, 5, 448367864
6, 4, 010314102
4, 2, 255477254
0, 2, 568490563
2, 3, 401538044
0, 3, 214631068
7, 1, 784205982
7, 5, 967131129
6, 2, 702464283
9, 5, 583012628
3, 1, 530146989
5, 2, 213162630
0, 3, 033241383
3, 3, 595774149
5, 5, 275504687
6, 4, 071962897
2, 4, 956619393
7, 3, 030026060
1, 2, 432348257
8, 3, 412026469
6, 5, 684746760
8, 2, 532955518
9, 5, 974845315
7, 2, 241836127
9, 2, 882720833
0, 1, 123159878
6, 5, 887404872
8, 1, 332990476
9, 1, 052766300
3, 2, 807063105
9, 4, 651938759
7, 2, 722498033
8, 1, 634755515
6, 3, 339644437
0, 1, 542028049
3, 4, 439654807
7, 4, 648483655
7, 2, 546843437
5, 4, 784205982
5, 3, 958186039
0, 3, 815555796
2, 5, 144418159
0, 3, 290598713
8, 5, 446843710
5, 2, 958962211
1, 3, 271026936
2, 5, 071962897
3, 2, 565250048
3, 1, 339644437
2, 5, 448367864
4, 3, 684746760
3, 4, 074230713
4, 1, 168229020
3, 2, 439495682
9, 2, 149776655
9, 5, 552737423
4, 5, 614380508
6, 3, 679414589
6, 1, 609771344
0, 5, 074230713
6, 5, 412026469
9, 2, 745534467
8, 5, 699030627
8, 3, 241836127
8, 5, 103201942
3, 4, 764413204
0, 5, 581402877
4, 5, 103201942
3, 3, 479778819
5, 2, 525690898
5, 2, 581402877
6, 4, 846144467
1, 1, 138162860
3, 5, 631427433
6, 1, 389602779
4, 4, 014369962
8, 4, 667890032
4, 3, 989052576
6, 2, 675329959
4, 4, 275504687
5, 2, 946304591
6, 5, 821051431
5, 4, 123159878
6, 2, 958962211
3, 3, 778346826
6, 3, 667890032
0, 2, 506990689
2, 2, 821082051
3, 1, 271026936
0, 3, 194778749
2, 3, 964960134
4, 5, 037712535
0, 5, 546843437
5, 1, 085677750
1, 4, 200368010
0, 3, 030026060
6, 2, 479778819
9, 2, 011539662
1, 1, 639220326
3, 5, 149776655
7, 2, 234369910
0, 2, 525690898
6, 2, 581402877
1, 4, 546843437
0, 1, 302650516
9, 4, 525690898
9, 3, 138162860
0, 4, 540300881
5, 2, 015869456
8, 2, 074230713
5, 4, 667890032
3, 5, 015869456
1, 4, 401538044
0, 1, 476546023
1, 4, 722498033
6, 4, 497524684
9, 4, 451744158
0, 2, 431875465
9, 4, 033241383
1, 5, 506319322
8, 3, 240499631
1, 4, 653269665
5, 3, 202607106
3, 3, 943298433
5, 3, 635812330
6, 1, 778346826
0, 4, 439495682
6, 5, 146956317
9, 4, 713826945
7, 1, 045523942
5, 2, 605862335
5, 3, 821051431
0, 3, 846144467
4, 2, 010314102
8, 1, 269862681
9, 2, 764413204
8, 3, 324806007
9, 1, 821507024
1, 4, 912093792
7, 4, 947082776
2, 4, 639220326
0, 2, 635812330
0, 5, 479778819
7, 3, 654210761
8, 5, 054133566
5, 1, 811649943
6, 3, 123159878
5, 4, 324806007
9, 5, 241836127
8, 4, 401538044
9, 4, 324806007
1, 3, 815555796
3, 4, 991631529
5, 4, 993738163
3, 1, 813621038
1, 1, 255477254
3, 2, 035221410
8, 5, 622138642
4, 1, 331248737
9, 3, 639680525
0, 1, 778346826
7, 4, 975424434
7, 2, 037712535
4, 2, 165519489
2, 3, 118536303
3, 5, 699030627
3, 4, 975424434
4, 3, 982033889
3, 4, 214631068
4, 1, 644463641
1, 2, 296538368
2, 2, 234369910
4, 2, 699030627
9, 3, 448545558
0, 2, 146956317
2, 5, 146956317
2, 2, 967131129
4, 2, 329373788
7, 1, 958426647
6, 2, 595774149
4, 2, 974845315
8, 2, 811649943
1, 2, 595774149
1, 3, 101065670
4, 4, 012563374
5, 1, 032956032
5, 3, 872883601
5, 3, 445966357
0, 3, 185064942
1, 1, 187734307
1, 2, 706763825
9, 5, 887404872
9, 3, 032956032
1, 1, 241836127
2, 5, 546843437
0, 1, 064251147
1, 1, 331386630
9, 4, 185064942
1, 3, 950759377
4, 3, 032956032
3, 3, 667890032
9, 5, 635812330
6, 5, 559302755
3, 1, 235167174
1, 4, 622138642
9, 2, 729484098
7, 4, 214631068
6, 2, 324806007
6, 1, 815555796
1, 2, 560605967
9, 5, 439654807
3, 5, 240499631
6, 2, 636160846
8, 2, 930122831
1, 5, 014369962
8, 4, 563916049
2, 4, 811649943
7, 4, 887404872
8, 4, 495930244
3, 1, 442954882
7, 3, 729484098
7, 5, 883469802
5, 3, 625356483
5, 3, 847908542
8, 3, 682680387
2, 5, 821507024
0, 3, 708664425
9, 4, 330861636
1, 5, 631427433
2, 3, 228178790
7, 1, 894643710
0, 1, 912093792
9, 4, 438136004
1, 3, 447920367
0, 4, 749803176
9, 4, 813621038
7, 4, 655505825
8, 2, 728993400
5, 2, 052625135
8, 3, 983452887
3, 4, 709604311
6, 1, 764919686
3, 2, 546843437
7, 2, 868147099
3, 2, 967131129
9, 5, 774716993
4, 1, 627482778
7, 3, 631427433
5, 3, 883469802
7, 2, 324806007
9, 2, 050587710
6, 1, 699480416
0, 1, 518067223
1, 5, 015869456
6, 3, 079548236
1, 5, 194778749
9, 2, 035221410
3, 2, 656979180
7, 3, 682204889
7, 2, 185064942
2, 5, 746098941
1, 4, 302650516
6, 5, 330861636
2, 1, 011539662
1, 3, 975424434
7, 3, 528803995
7, 3, 052766300
4, 4, 563916049
4, 5, 636160846
2, 2, 989052576
0, 4, 964960134
2, 1, 079548236
0, 2, 442954882
8, 4, 168229020
3, 1, 784205982
4, 4, 821507024
3, 1, 540300881
9, 3, 331386630
3, 1, 529408420
2, 5, 438136004
7, 1, 821507024
2, 5, 156320564
4, 5, 191634412
7, 4, 061482116
3, 4, 116347718
1, 5, 991631529
7, 2, 930122831
5, 2, 622138642
2, 2, 290598713
7, 5, 958962211
1, 2, 993738163
0, 4, 707624147
5, 4, 185064942
6, 3, 525690898
6, 3, 241836127
1, 3, 559302755
6, 2, 030026060
3, 5, 202607106
5, 4, 051692205
7, 2, 953252438
8, 5, 165519489
1, 3, 542028049
1, 5, 565250048
5, 4, 401538044
9, 4, 202607106
8, 5, 124825481
2, 1, 497524684
2, 3, 958426647
1, 2, 061482116
1, 5, 982033889
5, 2, 930122831
1, 5, 802117868
3, 5, 014369962
4, 2, 209364664
1, 1, 209364664
7, 3, 506990689
6, 2, 991631529
8, 5, 912093792
7, 5, 847908542
8, 1, 456708044
8, 2, 578812600
4, 4, 648357225
0, 3, 646764443
9, 3, 059725023
7, 4, 634755515
9, 5, 706763825
7, 4, 802117868
2, 4, 974845315
6, 5, 821507024
7, 3, 445966357
0, 5, 565250048
4, 1, 324806007
0, 5, 958962211
5, 3, 675329959
9, 3, 953252438
3, 3, 064251147
0, 4, 811649943
6, 2, 101065670
9, 3, 825732516
8, 5, 520780512
1, 5, 219421307
3, 2, 045523942
7, 3, 191634412
1, 2, 213162630
4, 2, 702464283
1, 2, 625356483
5, 2, 614380508
2, 2, 445966357
7, 3, 442954882
2, 4, 707624147
4, 3, 559302755
4, 3, 975424434
4, 2, 812915358
5, 2, 975424434
7, 1, 124825481
1, 3, 495930244
0, 5, 296538368
0, 5, 530146989
5, 2, 165519489
1, 4, 103201942
2, 5, 644463641
5, 3, 778346826
3, 2, 746098941
9, 1, 894643710
7, 3, 339644437
4, 4, 019241416
1, 1, 037712535
8, 3, 807063105
4, 1, 330861636
7, 3, 448367864
8, 1, 568490563
0, 1, 552737423
3, 5, 106152959
4, 3, 052625135
8, 2, 975424434
6, 3, 187734307
8, 2, 431875465
4, 3, 260470520
0, 5, 200368010
6, 2, 682204889
6, 4, 989052576
9, 2, 699030627
0, 5, 448545558
7, 2, 026292433
1, 2, 074230713
7, 3, 042552863
3, 4, 142549854
9, 3, 540300881
6, 2, 074230713
9, 1, 609771344
3, 3, 682680387
3, 1, 010314102
5, 3, 431875465
5, 3, 456708044
2, 4, 476546023
8, 3, 112213362
2, 3, 721086330
0, 4, 745534467
2, 5, 412026469
8, 1, 489063692
6, 3, 012563374
0, 1, 213162630
2, 2, 847908542
2, 4, 324806007
0, 2, 052625135
9, 1, 958186039
9, 3, 234369910
9, 3, 565250048
5, 1, 802117868
8, 3, 777314210
9, 4, 702464283
7, 2, 749803176
4, 5, 950759377
3, 4, 982033889
0, 4, 032956032
8, 4, 279940966
0, 2, 983452887
0, 4, 438136004
5, 1, 625617407
7, 4, 821051431
9, 5, 112213362
5, 5, 595774149
8, 2, 329373788
4, 3, 397926236
7, 3, 142549854
8, 3, 497524684
6, 1, 520780512
4, 1, 811649943
5, 2, 101065670
1, 2, 660595925
3, 2, 625356483
2, 1, 636160846
7, 3, 956619393
2, 5, 812915358
4, 4, 846144467
9, 4, 824423145
4, 3, 472088557
5, 1, 749803176
5, 4, 983452887
6, 1, 085677750
8, 5, 008957132
4, 3, 583012628
3, 2, 946304591
8, 3, 234369910
9, 2, 821082051
2, 5, 634755515
8, 4, 943298433
7, 5, 721086330
0, 3, 045523942
3, 2, 138162860
2, 5, 103201942
9, 3, 682204889
0, 1, 706100709
5, 1, 764919686
7, 2, 565250048
8, 4, 448545558
7, 5, 077630541
9, 1, 300754528
3, 5, 745534467
9, 2, 728993400
6, 4, 713826945
9, 2, 660595925
1, 3, 009475572
7, 1, 568490563
7, 5, 699480416
5, 3, 330861636
0, 5, 331248737
6, 5, 883469802
2, 5, 552737423
1, 4, 367644412
9, 1, 269862681
0, 4, 932492193
9, 1, 722498033
5, 3, 752662263
3, 1, 167363836
9, 4, 447920367
7, 2, 734697213
1, 5, 682204889
5, 3, 240234700
4, 2, 956619393
1, 1, 269862681
3, 1, 541458700
2, 5, 209364664
0, 4, 821507024
2, 3, 956562451
6, 1, 826524845
4, 3, 050587710
5, 5, 729484098
0, 1, 728993400
8, 5, 883469802
9, 3, 118536303
0, 1, 812915358
7, 3, 702464283
8, 1, 989052576
1, 3, 479778819
9, 3, 156320564
4, 4, 778346826
8, 5, 367644412
6, 1, 156320564
2, 3, 826524845
0, 4, 451744158
6, 1, 529408420
0, 1, 329373788
2, 2, 631438252
5, 5, 609771344
5, 1, 868147099
7, 4, 539497718
4, 5, 118536303
0, 4, 101065670
1, 2, 275504687
7, 2, 699030627
5, 3, 255477254
2, 3, 595774149
0, 1, 397926236
2, 4, 824423145
3, 3, 764919686
8, 5, 050587710
2, 3, 706100709
9, 3, 642811062
6, 1, 130427542
6, 5, 583012628
2, 5, 489063692
9, 3, 654210761
7, 4, 706100709
6, 4, 052766300
0, 4, 753884775
2, 4, 446843710
3, 2, 817593217
8, 2, 708664425
6, 2, 975424434
7, 2, 627482778
7, 4, 622138642
1, 2, 749803176
8, 2, 541458700
0, 5, 340447467
7, 3, 812915358
5, 2, 627482778
7, 4, 008957132
2, 4, 185064942
9, 4, 456708044
9, 4, 479778819
5, 3, 660595925
9, 4, 130427542
5, 1, 953252438
3, 1, 156320564
5, 5, 542028049
8, 5, 290598713
